symbol,imbalance,diff,volume,target
ETHUSDT,-0.997690,-0.000005,0.000000,2737.925000,2738.825000,0.032872
BTCUSDT,0.998811,-0.000031,0.000000,82489.995000,82535.735000,0.055449
ETHUSDT,0.905316,0.000230,0.000000,2739.235000,2738.745000,-0.017888
BTCUSDT,0.308068,0.000792,0.000000,82513.195000,82535.735000,0.027317
ETHUSDT,-0.141545,0.074624,0.000000,2739.035000,2738.725000,-0.011318
BTCUSDT,0.839661,-0.000003,0.000000,82518.795000,82519.695000,0.001091
ETHUSDT,0.959315,0.000001,0.000000,2739.975000,2738.265000,-0.062409
BTCUSDT,0.863559,0.000120,0.000000,82526.765000,82519.695000,-0.008567
ETHUSDT,0.818712,0.004081,0.000000,2739.555000,2738.265000,-0.047088
BTCUSDT,0.673886,0.000192,0.000000,82533.235000,82519.695000,-0.016406
ETHUSDT,0.974603,-0.000002,0.000000,2740.055000,2738.005000,-0.074816
BTCUSDT,0.414525,0.029520,0.000000,82539.995000,82519.695000,-0.024594
ETHUSDT,0.904179,-0.000121,0.000000,2740.015000,2738.005000,-0.073357
BTCUSDT,-0.977172,0.000045,0.000000,82539.995000,82519.695000,-0.024594
ETHUSDT,-0.124763,0.000225,0.000000,2739.245000,2738.255000,-0.036141
BTCUSDT,-0.887586,-0.002909,0.000000,82527.715000,82515.405000,-0.014916
ETHUSDT,-0.515258,0.000183,0.000000,2738.715000,2737.425000,-0.047102
BTCUSDT,-0.617454,0.010449,0.000000,82527.715000,82500.005000,-0.033577
ETHUSDT,-0.125265,0.013557,0.000000,2738.775000,2737.305000,-0.053674
BTCUSDT,-0.567502,0.000991,0.000000,82527.715000,82500.005000,-0.033577
ETHUSDT,-0.695106,0.000047,0.000000,2738.375000,2737.305000,-0.039074
BTCUSDT,0.972432,-0.000001,0.000000,82527.715000,82500.005000,-0.033577
ETHUSDT,0.885269,-0.000045,0.000000,2739.235000,2737.305000,-0.070458
BTCUSDT,0.354193,0.000015,0.000000,82527.715000,82500.005000,-0.033577
ETHUSDT,-0.466169,0.000070,0.000000,2738.825000,2737.305000,-0.055498
BTCUSDT,-0.086427,-0.000019,0.000000,82535.735000,82539.955000,0.005113
ETHUSDT,-0.706645,0.000013,0.000000,2738.745000,2738.815000,0.002556
BTCUSDT,-0.146132,0.118579,0.000000,82535.735000,82539.945000,0.005101
ETHUSDT,-0.398842,0.011069,0.000000,2738.725000,2738.815000,0.003286
BTCUSDT,-0.999525,-0.000049,0.000000,82519.695000,82536.105000,0.019886
ETHUSDT,0.901488,-0.000353,0.000000,2738.265000,2738.815000,0.020086
BTCUSDT,-0.998416,0.000001,0.000000,82519.695000,82526.095000,0.007756
ETHUSDT,-0.979735,0.000002,0.000000,2738.265000,2737.835000,-0.015703
BTCUSDT,0.182762,0.005088,0.000000,82519.695000,82456.005000,-0.077182
ETHUSDT,0.908333,-0.000331,0.000000,2738.005000,2737.225000,-0.028488
BTCUSDT,-0.023208,0.000232,0.000000,82519.695000,82475.405000,-0.053672
ETHUSDT,0.458786,-0.000109,0.000000,2738.005000,2737.475000,-0.019357
BTCUSDT,0.498377,-0.001084,0.000000,82519.695000,82475.475000,-0.053587
ETHUSDT,0.541398,-0.000054,0.000000,2738.255000,2737.725000,-0.019355
BTCUSDT,-0.899325,-0.046338,0.000000,82500.005000,82462.105000,-0.045939
ETHUSDT,-0.790594,0.000050,0.000000,2737.305000,2737.225000,-0.002923
BTCUSDT,0.083035,0.000074,0.000000,82500.005000,82462.105000,-0.045939
ETHUSDT,0.160857,0.000177,0.000000,2737.305000,2737.655000,0.012786
BTCUSDT,-0.433051,-0.000025,0.000000,82500.005000,82469.175000,-0.037370
ETHUSDT,-0.000717,-0.109903,0.000000,2737.305000,2738.225000,0.033610
BTCUSDT,-0.359552,-0.006080,0.000000,82500.005000,82490.405000,-0.011636
ETHUSDT,0.340310,-0.190251,0.000000,2737.305000,2739.035000,0.063201
BTCUSDT,-0.763340,-0.016649,0.000000,82500.005000,82506.615000,0.008012
ETHUSDT,-0.344640,0.000752,0.000000,2737.305000,2741.345000,0.147590
BTCUSDT,-0.949859,-0.000027,0.000000,82539.955000,82604.895000,0.078677
ETHUSDT,0.429524,0.100243,0.000000,2738.815000,2741.815000,0.109536
BTCUSDT,-0.998798,0.000841,0.000000,82539.945000,82631.995000,0.111522
ETHUSDT,-0.198424,-0.084394,0.000000,2738.815000,2741.905000,0.112823
BTCUSDT,0.182890,-0.000047,0.000000,82536.105000,82615.145000,0.095764
ETHUSDT,-0.623041,0.003507,0.000000,2738.815000,2740.925000,0.077041
BTCUSDT,-0.813239,-0.000037,0.000000,82526.095000,82630.055000,0.125972
ETHUSDT,0.396496,-0.063235,0.000000,2737.425000,2741.325000,0.142470
BTCUSDT,0.423817,0.000044,0.000000,82470.925000,82619.995000,0.180755
ETHUSDT,0.988738,0.000018,0.000000,2736.905000,2741.495000,0.167708
BTCUSDT,0.998595,-0.000022,0.000000,82475.405000,82626.715000,0.183461
ETHUSDT,-0.794840,-0.000006,0.000000,2737.425000,2741.495000,0.148680
BTCUSDT,0.943952,0.000569,0.000000,82475.475000,82626.715000,0.183376
